,NoPerDay,measure,statistic,W1_err,W2_err,W3_err,QueueOutside_err,W1_err_pct,W2_err_pct,W3_err_pct,QueueOutside_err_pct
0,1500,Avg,mean,0.12307692307692308,0.12698412698412698,0.0,0.9543902439024391,0.0059949872533111665,0.0061853043089718385,0.0,0.9165447154471547
1,1500,Avg,std,0.3285264630481543,0.33295618145750433,0.0,0.11782719326592848,0.026162845367667113,0.026552726512294525,0.0,0.24387094093479594
2,1500,90,mean,-0.9952307692307815,-0.999285714285726,-1.488170731707317,0.9408256097560975,-0.8006768686384343,-0.8259747808649606,-1.3680365094958333,0.8891734427767354
3,1500,90,std,0.9563216839210841,0.9704699095574443,0.42407666478145156,0.14757199430910187,0.7921741890317391,0.7916199444850976,0.6105602781449151,0.2729594317161925
4,1500,95,mean,-1.2326153846153907,-1.2355555555555613,-1.749268292682927,0.9128000000000001,-0.9512553140168357,-0.9812869590456554,-1.6294257911173597,0.8832275813135563
5,1500,95,std,1.0283374542190389,1.0443921665406495,0.5180108195570342,0.20860327537903717,0.9411209977137833,0.9404861519651104,0.7286954622697901,0.2829512802998825
6,1550,Avg,mean,0.0625,0.04838709677419355,0.0,0.9241463414634146,0.004589130788078808,0.0046839361355490395,0.0,0.8972459506909309
7,1550,Avg,std,0.2420622030851971,0.21458347716665793,0.0,0.18713526785341777,0.0312616247604181,0.03175593141423581,0.0,0.26560354877572256
8,1550,90,mean,-0.9471093749999996,-0.974435483870968,-1.4912195121951255,0.9065621951219512,-0.785450552934322,-0.8106624447097925,-1.3649211487217154,0.8606049452463913
9,1550,90,std,0.8700200968027506,0.8379133338245339,0.5165305521446745,0.23491461040135359,0.79246317950926,0.7924104744671121,0.6173835285280674,0.3171982173962491
10,1550,95,mean,-1.133124999999998,-1.1599999999999984,-1.7736585365853652,0.896448780487805,-0.912570514867539,-0.9418683435885795,-1.6275523751052672,0.8653502192229827
11,1550,95,std,0.9581797210042459,0.9290745391430694,0.5531027407967561,0.2535389450307232,0.9330989830377305,0.9334298001683533,0.7327550595657997,0.30572267645448986
12,1600,Avg,mean,0.046875,0.04838709677419355,0.024390243902439025,0.8856097560975612,0.0002232758416688747,0.0002304782881743223,0.001016260162601626,0.8668285303561923
13,1600,Avg,std,0.21137173178756696,0.21458347716665793,0.15425792092948,0.2670264317616009,0.001338700452170692,0.0013595106362270834,0.006427413372061667,0.3133190382847317
14,1600,90,mean,-1.1080468750000005,-1.1225000000000018,-1.4029268292682986,0.9040231707317076,-0.7496093864721605,-0.7737693498795609,-1.2909444266128085,0.8484014070358323
15,1600,90,std,0.8139140720124157,0.8163796109836815,0.5409154958072164,0.22628824594238905,0.7750053547504239,0.7754546593931281,0.669647583455103,0.33438397485765564
16,1600,95,mean,-1.2018749999999983,-1.218709677419354,-1.6819512195121842,0.9189658536585374,-0.8552947341756426,-0.8828660581558513,-1.5438589658703796,0.8478433976319641
17,1600,95,std,0.9742059936695296,0.9792909074758773,0.7159774674866026,0.2024389290745659,0.9234472810599526,0.9251687731848233,0.7877823579631955,0.33389187015933275
18,1650,Avg,mean,0.0625,0.06451612903225806,0.0,0.9004878048780484,0.00028042425231283055,0.00028947019593582513,0.0,0.8518717813451059
